State - Place,Year,Population,LikithVinayaka - Rank
 VA - Lynchburg,1840,6395,80
 ME - Bath,1840,5141,81
 OH - Zanesville,1840,4766,82
 RI - Warwick,1840,6726,83
 PA - Pottsville,1840,4345,84
 PA - Easton,1840,4865,85
 NY - Hudson,1840,5672,86
 MA - Marblehead,1840,5575,87
 MA - Plymouth,1840,5281,88
 RI - Cumberland,1840,5225,89
 MA - Andover,1840,5207,90
 MD - Frederick,1840,5182,91
 MA - Middleborough,1840,5085,92
 ME - Gardiner,1840,5042,93
 PA - York,1840,4779,94
 MA - Beverly,1840,4689,95
 PA - Carlisle,1840,4351,96
 SC - Columbia,1840,4340,97
 MA - Barnstable,1840,4301,98
 NC - Fayetteville,1840,4285,99
 OH - Steubenville,1840,4247,100
 NY - New York City,1830,202589,1
 PA - Philadelphia,1830,80462,2
 MD - Baltimore,1830,80620,3
 DC - Washington,1830,18826,4
 MA - Boston,1830,61392,5
 LA - New Orleans,1830,46082,6
 MO - St. Louis,1830,4977,7
 PA - Pittsburgh,1830,12568,8
 OH - Cincinnati,1830,24831,9
 NY - Buffalo,1830,8668,10
 NJ - Newark,1830,10953,11
 KY - Louisville,1830,10341,12
 VA - Norfolk,1830,9814,13
 NY - Rochester,1830,9207,14
 KY - Lexington,1830,6026,15
 VA - Richmond,1830,16060,16
 AL - Mobile,1830,3194,17
 OH - Dayton,1830,2950,18
 MA - Worcester,1830,4173,19
 RI - Providence,1830,16833,20
 MA - Springfield,1830,6784,21
 CT - Hartford,1830,7074,22
 TN - Nashville,1830,5566,23
 CT - New Haven,1830,10180,24
 NY - Albany,1830,24209,25
 NJ - Trenton,1830,3925,26
 MA - Cambridge,1830,6072,27
 GA - Savannah,1830,7303,28
 NJ - Elizabeth,1830,3455,29
 MA - Fall River,1830,4158,30
 PA - Reading,1830,5856,31
 MA - New Bedford,1830,7592,32
 MA - Lowell,1830,6474,33
 NY - Utica,1830,8323,34
 MA - Lynn,1830,6138,35
 NY - Schenectady,1830,4268,36
 PA - Harrisburg,1830,4312,37
 NY - Troy,1830,11556,38
 SC - Charleston,1830,30289,39
 ME - Portland,1830,12598,40
 PA - Allegheny,1830,2801,41
 PA - Lancaster,1830,7704,42
 GA - Augusta,1830,6710,43
 NY - Brooklyn,1830,12406,44
 MA - Salem,1830,13895,45
 VA - Petersburg,1830,8322,46
 MA - Taunton,1830,6042,47
 MA - Charlestown,1830,8783,48
 CT - Norwich,1830,3135,49
 MA - Gloucester,1830,7510,50
 MA - Roxbury,1830,5247,51
 MA - Newburyport,1830,6375,52
 VA - Alexandria,1830,8241,53
 RI - Newport,1830,8010,54
 CT - New London,1830,4335,55
 MA - Dorchester,1830,4074,56
 NC - Wilmington,1830,3791,57
 PA - Spring Garden District,1830,11140,58
 PA - Northern Liberties,1830,28872,59
 PA - Kensington,1830,13394,60
 PA - Southwark,1830,20581,61
 PA - Moyamensing,1830,6822,62
 NH - Portsmouth,1830,8026,63
 MA - Nantucket,1830,7202,64
 DC - Georgetown,1830,8441,65
 NH - Dover,1830,5449,66
 MA - Danvers,1830,4228,67
 VA - Lynchburg,1830,4630,68
 OH - Zanesville,1830,3094,69
 RI - Warwick,1830,5529,70
 PA - Easton,1830,3529,71
 NY - Hudson,1830,5392,72
 MA - Marblehead,1830,5149,73
 MA - Plymouth,1830,4758,74
 MA - Andover,1830,4530,75
 MD - Frederick,1830,4427,76
 MA - Middleborough,1830,5008,77
 PA - York,1830,4216,78
 MA - Beverly,1830,4073,79
 PA - Carlisle,1830,3707,80
 SC - Columbia,1830,3310,81
 NC - Fayetteville,1830,2868,82
 OH - Steubenville,1830,2937,83
 NC - New Bern,1830,3796,84
 MD - Hagerstown,1830,3371,85
 VA - Fredericksburg,1830,3308,86
 CT - Middletown,1830,3123,87
 OH - Chillicothe,1830,2846,88
 MS - Natchez,1830,2789,89
 MD - Annapolis,1830,2623,90
 NY - New York City,1820,123706,1
 PA - Philadelphia,1820,63802,2
 MD - Baltimore,1820,62738,3
 DC - Washington,1820,13247,4
 MA - Boston,1820,43298,5
 LA - New Orleans,1820,27176,6
 PA - Pittsburgh,1820,7248,7
 OH - Cincinnati,1820,9642,8
 KY - Louisville,1820,4012,9
 VA - Norfolk,1820,8478,10
 KY - Lexington,1820,5279,11
 NC - Raleigh,1820,2674,12
 VA - Richmond,1820,12067,13
 RI - Providence,1820,11767,14
 CT - Hartford,1820,4726,15
 CT - New Haven,1820,7147,16
 NY - Albany,1820,12630,17
 NJ - Trenton,1820,3942,18
 GA - Savannah,1820,7523,19
 NJ - Elizabeth,1820,3515,20
 PA - Reading,1820,4332,21
 MA - New Bedford,1820,3947,22
 NY - Utica,1820,2972,23
 MA - Lynn,1820,4515,24
 NY - Schenectady,1820,3939,25
 PA - Harrisburg,1820,299,26
 NY - Troy,1820,5264,27
 SC - Charleston,1820,24780,28
 ME - Portland,1820,8581,29
 PA - Lancaster,1820,6633,30
 NY - Brooklyn,1820,7175,31
 MA - Salem,1820,12731,32
 VA - Petersburg,1820,6690,33
 MA - Taunton,1820,4520,34
 MA - Charlestown,1820,6591,35
 CT - Norwich,1820,2983,36
 MA - Gloucester,1820,6384,37
 MA - Roxbury,1820,4135,38
 MA - Newburyport,1820,6852,39
 VA - Alexandria,1820,8218,40
 RI - Newport,1820,7319,41
 CT - New London,1820,333,42
 NC - Wilmington,1820,2633,43
 PA - Spring Garden District,1820,3498,44
 PA - Northern Liberties,1820,19678,45
 PA - Kensington,1820,7118,46
 PA - Southwark,1820,14713,47
 NH - Portsmouth,1820,7327,48
 MA - Nantucket,1820,7266,49
 DC - Georgetown,1820,7360,50
 NY - Hudson,1820,5310,51
 MA - Marblehead,1820,5630,52
 MA - Plymouth,1820,4348,53
 MD - Frederick,1820,3640,54
 MA - Middleborough,1820,4687,55
 PA - York,1820,3545,56
 MA - Beverly,1820,4283,57
 PA - Carlisle,1820,2908,58
 NC - Fayetteville,1820,3532,59
 NC - New Bern,1820,3663,60
 CT - Middletown,1820,2618,61
 NY - New York City,1810,96373,1
 PA - Philadelphia,1810,53722,2
 MD - Baltimore,1810,46555,3
 DC - Washington,1810,8208,4
 MA - Boston,1810,33787,5
 LA - New Orleans,1810,17242,6
 PA - Pittsburgh,1810,4768,7
 OH - Cincinnati,1810,2540,8
 VA - Norfolk,1810,9193,9
 KY - Lexington,1810,4326,10
 VA - Richmond,1810,9735,11
 RI - Providence,1810,10071,12
 CT - Hartford,1810,3955,13
 CT - New Haven,1810,5772,14
 NY - Albany,1810,10762,15
 NJ - Trenton,1810,3002,16
 GA - Savannah,1810,5215,17
 NJ - Elizabeth,1810,2977,18
 PA - Reading,1810,3462,19
 MA - New Bedford,1810,5651,20
 MA - Lynn,1810,4087,21
 NY - Schenectady,1810,5903,22
 SC - Charleston,1810,24711,23
 ME - Portland,1810,7169,24
 PA - Lancaster,1810,5405,25
 NY - Brooklyn,1810,4402,26
 MA - Salem,1810,12613,27
 VA - Petersburg,1810,5668,28
 MA - Charlestown,1810,4959,29
 CT - Norwich,1810,2976,30
 MA - Gloucester,1810,5943,31
 MA - Newburyport,1810,7634,32
 VA - Alexandria,1810,7227,33
 RI - Newport,1810,7907,34
 CT - New London,1810,3238,35
 PA - Northern Liberties,1810,19874,36
 PA - Southwark,1810,13707,37
 NH - Portsmouth,1810,6934,38
 MA - Nantucket,1810,6807,39
 DC - Georgetown,1810,4948,40
 NY - Hudson,1810,4048,41
 MA - Marblehead,1810,5900,42
 MA - Plymouth,1810,4228,43
 MA - Middleborough,1810,4400,44
 PA - York,1810,2847,45
 MA - Beverly,1810,4608,46
 NY - New York City,1800,60515,1
 PA - Philadelphia,1800,41220,2
 MD - Baltimore,1800,26514,3
 DC - Washington,1800,3210,4
 MA - Boston,1800,24937,5
 VA - Norfolk,1800,6926,6
 VA - Richmond,1800,5737,7
 RI - Providence,1800,7614,8
 CT - Hartford,1800,3523,9
 CT - New Haven,1800,4049,10
 NY - Albany,1800,5289,11
 GA - Savannah,1800,5146,12
 MA - New Bedford,1800,4361,13
 NY - Schenectady,1800,5289,14
 SC - Charleston,1800,18824,15
 ME - Portland,1800,3704,16
 PA - Lancaster,1800,4292,17
 MA - Salem,1800,9457,18
 VA - Petersburg,1800,3521,19
 MA - Gloucester,1800,5313,20
 MA - Newburyport,1800,5946,21
 VA - Alexandria,1800,4971,22
 RI - Newport,1800,6739,23
 CT - New London,1800,5150,24
 PA - Northern Liberties,1800,10718,25
 PA - Southwark,1800,9621,26
 NH - Portsmouth,1800,5339,27
 MA - Nantucket,1800,5617,28
 DC - Georgetown,1800,2993,29
 NY - Hudson,1800,3664,30
 MA - Marblehead,1800,5211,31
 MA - Middleborough,1800,4458,32
 PA - York,1800,2503,33
 NY - New York City,1790,33131,1
 PA - Philadelphia,1790,28522,2
 MD - Baltimore,1790,13503,3
 MA - Boston,1790,18320,4
 VA - Norfolk,1790,2959,5
 VA - Richmond,1790,3761,6
 RI - Providence,1790,6380,7
 CT - Hartford,1790,2683,8
 CT - New Haven,1790,4487,9
 NY - Albany,1790,3498,10
 SC - Charleston,1790,16359,11
 MA - Salem,1790,7921,12
 VA - Petersburg,1790,2828,13
 MA - Gloucester,1790,5317,14
 MA - Newburyport,1790,4837,15
 VA - Alexandria,1790,2748,16
 RI - Newport,1790,6716,17
